id,product,prices
1329,Pastry - Carrot Muffin - Mini,52.0
1330,Cheese - Wine,63.0
1331,Scallops - Live In Shell,25.0
1332,Salt - Kosher,62.0
1333,"Star Anise, Whole",70.0
1334,Tomatoes - Yellow Hot House,24.0
1335,Pepper - Sorrano,59.0
1336,"Wine - White, Antinore Orvieto",75.0
1337,Island Oasis - Raspberry,28.0
1338,Wine - Sauvignon Blanc,72.0
1339,Chevere Logs,47.0
1340,Plastic Arrow Stir Stick,75.0
1341,Cup - 4oz Translucent,18.0
1342,Wine - Tribal Sauvignon,29.0
1343,Tequila Rose Cream Liquor,70.0
1344,Arctic Char - Fillets,11.0
1346,Pepper - Red Bell,2.0
1347,"Cheese - Brie,danish",71.0
1348,Flour Pastry Super Fine,71.0
1349,Wine - Malbec Trapiche Reserve,53.0
1350,Wine - Segura Viudas Aria Brut,56.0
1351,Mustard - Dijon,56.0
1353,Milk - 2% 250 Ml,61.0
1354,Wine - Niagara Peninsula Vqa,51.0
1355,Meldea Green Tea Liquor,32.0
1356,Flounder - Fresh,27.0
1357,Sobe - Green Tea,43.0
1358,Water - Spring 1.5lit,46.0
1359,Cookie Trail Mix,92.0
1361,"Oranges - Navel, 72",43.0
1363,Water - Tonic,47.0
1365,Oven Mitts - 15 Inch,54.0
1367,"Pepper - Green, Chili",53.0
1368,Table Cloth 54x54 Colour,73.0
1369,The Pop Shoppe - Lime Rickey,57.0
1370,Mushrooms - Honey,18.0
1371,Crackers - Graham,60.0
1372,Soap - Pine Sol Floor Cleaner,35.0
1373,Wine - Touraine Azay - Le - Rideau,48.0
1374,Peas - Frozen,55.0
1376,Ice Cream Bar - Oreo Sandwich,56.0
1378,Cinnamon - Ground,38.0
1380,Calaloo,41.0
1381,Vegetable - Base,34.0
1382,"Lamb - Leg, Bone In",92.0
1383,Lettuce - Spring Mix,72.0
1384,Beer - Muskoka Cream Ale,42.0
1385,Five Alive Citrus,46.0
1386,Remy Red Berry Infusion,44.0
1387,Mayonnaise - Individual Pkg,51.0
1388,Beef - Tenderloin - Aa,47.0
1389,"Jam - Marmalade, Orange",60.0
1390,"Soup - Knorr, Classic Can. Chili",62.0
1391,Tart - Butter Plain Squares,60.0
1392,"Cheese - Brie, Triple Creme",46.0
1393,Bagelers - Cinn / Brown,51.0
1396,Beef - Prime Rib Aaa,43.0
1397,"Seedlings - Mix, Organic",56.0
1398,Allspice - Jamaican,15.0
1399,Kolrabi,48.0
1400,Yogurt - Assorted Pack,107.0
1401,Wine - Riesling Alsace Ac 2001,52.0
1402,"Rum - White, Gg White",107.0
1403,Cheese - Bocconcini,56.0
1404,Compound - Orange,66.0
1405,Cookie Dough - Chocolate Chip,69.0
1406,Raisin - Golden,56.0
1407,Energy Drink Red Bull,83.0
1408,Apricots Fresh,31.0
1409,Tomato Puree,88.0
1410,Ice Cream Bar - Rolo Cone,53.0
1411,"Chilli Paste, Ginger Garlic",52.0
1412,Soup V8 Roasted Red Pepper,71.0
1414,Emulsifier,2.0
1416,French Pastry - Mini Chocolate,55.0
1417,Broom Handle,53.0
1418,Ham - Cooked,73.0
1419,Pepper - Red Thai,79.0
1420,Flavouring - Raspberry,45.0
1421,Salt And Pepper Mix - Black,58.0
1422,"Chocolate - Pistoles, Lactee, Milk",43.0
1423,Lychee,88.0
1424,Beef - Flank Steak,46.0
1427,Chicken - Whole,34.0
1428,Higashimaru Usukuchi Soy,45.0
1429,Mace Ground,36.0
1430,"Pasta - Fettuccine, Dry",68.0
1432,Shiratamako - Rice Flour,59.0
1434,Mushroom - Porcini Frozen,50.0
1435,"Beef - Rib Roast, Cap On",2.0
1436,Truffle Cups - Brown,47.0
1437,"Pepper - Black, Ground",68.0
1439,Chicken Thigh - Bone Out,41.0
1441,Tea - English Breakfast,2.0
1442,Tomatoes - Grape,97.0
1443,"Soup - Beef Conomme, Dry",75.0
1444,Sun - Dried Tomatoes,75.0
1445,Lamb - Bones,38.0
1448,Carbonated Water - Orange,46.0
1449,Green Scrubbie Pad H.duty,41.0
1450,Wine - Chateauneuf Du Pape,13.0
1451,Rootbeer,33.0
1452,"Soup - Knorr, French Onion",46.0
1453,"Garlic - Primerba, Paste",22.0
1454,Melon - Watermelon Yellow,76.0
1455,Bandage - Fexible 1x3,43.0
1456,Sugar - Individual Portions,17.0
1457,Pears - Fiorelle,12.0
1458,Puree - Blackcurrant,57.0
1459,Tea - Herbal - 6 Asst,53.0
1460,Gherkin - Sour,55.0
1461,Cheese - Provolone,73.0
1463,Cake - Cheese Cake 9 Inch,56.0
1464,Pickles - Gherkins,34.0
1465,Onions - Pearl,58.0
1466,Turnip - Mini,53.0
1467,Bread - Italian Roll With Herbs,69.0
1468,Mushroom - Chanterelle Frozen,56.0
1471,Glaze - Apricot,66.0
1472,Bok Choy - Baby,44.0
1473,"Oil - Shortening,liqud, Fry",58.0
1474,Eggplant - Asian,45.0
1475,"Pasta - Fusili, Dry",46.0
1476,Cookie Choc,38.0
1477,Pie Filling - Pumpkin,37.0
1478,Duck - Whole,9.0
1479,Yeast Dry - Fleischman,54.0
1480,Spinach - Frozen,62.0
1481,"Lettuce - Romaine, Heart",54.0
1482,Shrimp - Black Tiger 8 - 12,44.0
1483,Jerusalem Artichoke,32.0
1484,Cucumber - Pickling Ontario,44.0
1485,Wine - Kwv Chenin Blanc South,33.0
1487,Muffin - Mix - Creme Brule 15l,48.0
1488,Teriyaki Sauce,56.0
1489,Red Cod Fillets - 225g,31.0
1490,"Yogurt - Blueberry, 175 Gr",40.0
1491,Beans - Green,81.0
1493,Squid - Tubes / Tenticles 10/20,44.0
1494,Bagel - Whole White Sesame,46.0
1495,"Beef - Chuck, Boneless",52.0
1496,Steel Wool S.o.s,50.0
1497,Soup Campbells Turkey Veg.,61.0
1498,Cheese Cloth,46.0
1499,Tomatoes - Heirloom,51.0
1500,Apple - Custard,47.0
1501,"Salsify, Organic",61.0
1502,"Asparagus - White, Fresh",16.0
1504,Soho Lychee Liqueur,50.0
1505,Squash - Butternut,63.0
1506,"Lemonade - Island Tea, 591 Ml",43.0
1507,Oil - Olive Bertolli,47.0
1508,Squash - Sunburst,51.0
1509,Juice - Happy Planet,30.0
1510,Knife Plastic - White,74.0
1513,"Soup - Campbells, Chix Gumbo",54.0
1514,Muffin Hinge 117n,36.0
1515,Ice Cream Bar - Oreo Cone,56.0
1516,Mcgillicuddy Vanilla Schnap,72.0
1517,"Cup - 3.5oz, Foam",39.0
1518,Dehydrated Kelp Kombo,84.0
1519,Pepper - Chili Powder,90.0
1521,Wine - Penfolds Koonuga Hill,60.0
1522,Foil - 4oz Custard Cup,57.0
1523,"Wine - White, Riesling, Henry Of",44.0
1524,Bag - Clear 7 Lb,26.0
1525,Wine - Zinfandel Rosenblum,83.0
1526,Salmon Steak - Cohoe 6 Oz,43.0
1527,Cheese - Ermite Bleu,76.0
1530,Bread - Mini Hamburger Bun,68.0
1531,Muffin Mix - Corn Harvest,61.0
1532,Fennel - Seeds,63.0
1533,Wine - Baron De Rothschild,14.0
1534,Icecream - Dstk Cml And Fdg,56.0
1535,Bay Leaf Fresh,34.0
1536,"7up Diet, 355 Ml",40.0
1537,Shrimp - 100 / 200 Cold Water,37.0
1538,"Coffee - Beans, Whole",41.0
1540,Kellogs Cereal In A Cup,71.0
1541,"Iced Tea - Lemon, 340ml",12.0
1542,Dates,39.0
1543,"Lettuce - Mini Greens, Whole",56.0
1544,Lime Cordial - Roses,14.0
1545,Syrup - Monin - Passion Fruit,81.0
1546,Shark - Loin,39.0
1547,"Lamb - Leg, Diced",40.0
1549,Carbonated Water - Raspberry,40.0
1550,Cattail Hearts,89.0
1551,Wine - Magnotta - Pinot Gris Sr,85.0
1552,Cookie Chocolate Chip With,54.0
1553,Cabbage - Savoy,57.0
1554,Nantucket - 518ml,49.0
1556,Coffee - Decaffeinato Coffee,38.0
1557,Compound - Mocha,37.0
1559,Muffin - Mix - Bran And Maple 15l,68.0
1560,"Chestnuts - Whole,canned",60.0
1561,Oil - Grapeseed Oil,33.0
1562,Wine - Marlbourough Sauv Blanc,14.0
1563,"Oil - Olive, Extra Virgin",34.0
1564,Cognac - Courvaisier,32.0
1566,Sauce - Oyster,57.0
1567,Pork - Inside,32.0
1568,Water Chestnut - Canned,50.0
1569,Compound - Raspberry,76.0
1570,Pastry - Cheese Baked Scones,13.0
1571,Lotus Leaves,47.0
1572,Veal - Sweetbread,48.0
1573,Potatoes - Pei 10 Oz,15.0
1574,"C - Plus, Orange",54.0
1575,"Glass - Wine, Plastic, Clear 5 Oz",56.0
1577,The Pop Shoppe - Grape,54.0
1578,Tea - Decaf Lipton,20.0
1580,Grapes - Black,45.0
1581,Cookies Cereal Nut,45.0
1582,Pop - Club Soda Can,29.0
1583,Pastry - Raisin Muffin - Mini,68.0
1584,"Asparagus - Green, Fresh",83.0
1585,Urban Zen Drinks,47.0
1586,Chips Potato Salt Vinegar 43g,35.0
1587,Blueberries,71.0
1589,Canadian Emmenthal,54.0
1590,Milk 2% 500 Ml,51.0
1591,"Wine - Red, Mouton Cadet",67.0
1592,"Olives - Green, Pitted",80.0
1594,Calypso - Pineapple Passion,56.0
1595,Muffin Batt - Choc Chk,3.0
1596,Tea Peppermint,52.0
1597,Cheese - Cambozola,36.0
1599,Pork - Ham Hocks - Smoked,53.0
1601,Macaroons - Two Bite Choc,85.0
1602,"Halibut - Whole, Fresh",55.0
1603,Lamb Tenderloin Nz Fr,59.0
1606,Coffee - Hazelnut Cream,58.0
1607,Gatorade - Cool Blue Raspberry,71.0
1609,Pop Shoppe Cream Soda,85.0
1610,Daikon Radish,50.0
1611,Salmon - Canned,61.0
1612,Mortadella,92.0
1613,Ecolab - Hobart Washarm End Cap,60.0
1615,Orange - Blood,34.0
1616,Pastry - Apple Muffins - Mini,31.0
1618,Sauce - Mint,50.0
1619,"Chicken - Wings, Tip Off",85.0
1620,Coffee - Irish Cream,67.0
1621,Rice - Wild,65.0
1622,Potatoes - Idaho 100 Count,82.0
1623,Flour - Semolina,30.0
1624,Sugar - White Packet,41.0
1625,Wine - Chateau Timberlay,47.0
1626,Bread - Malt,37.0
1627,Sugar - Splenda Sweetener,51.0
1628,Chocolate - Feathers,61.0
1629,Coffee - Ristretto Coffee Capsule,37.0
1630,Lettuce Romaine Chopped,63.0
1631,Wine - Shiraz South Eastern,75.0
1632,Juice - Mango,53.0
1634,Apricots - Dried,54.0
1635,Miso - Soy Bean Paste,56.0
1636,Cheese - Augre Des Champs,54.0
1637,"Capon - Breast, Wing On",21.0
1638,Soup - Base Broth Beef,54.0
1639,Cut Wakame - Hanawakaba,66.0
1640,Icecream Cone - Areo Chocolate,29.0
1641,Sponge Cake Mix - Chocolate,49.0
1642,Cilantro / Coriander - Fresh,55.0
1643,Dried Peach,72.0
1644,Yogurt - Plain,39.0
1645,Bread - Petit Baguette,47.0
1646,"Pasta - Detalini, White, Fresh",72.0
1647,Soup - Campbells - Chicken Noodle,75.0
1648,"Wine - Red, Cooking",80.0
1649,Hipnotiq Liquor,39.0
1650,Ice Cream Bar - Hageen Daz To,67.0
1651,Potatoes - Idaho 80 Count,59.0
1652,"Pork - Bacon, Double Smoked",64.0
1655,Cheese Cheddar Processed,57.0
1656,Muffin Mix - Oatmeal,67.0
1659,"Oregano - Dry, Rubbed",27.0
1661,Saskatoon Berries - Frozen,23.0
1663,Energy Drink - Franks Original,45.0
1664,"Bread - Multigrain, Loaf",2.0
1665,Coffee Cup 8oz 5338cd,59.0
1667,Broom - Angled,56.0
1668,Pork - Sausage Casing,35.0
1669,Tamarillo,34.0
1670,Wood Chips - Regular,41.0
1672,Devonshire Cream,6.0
1673,Table Cloth 90x90 White,76.0
1675,"Mushroom - Shitake, Fresh",53.0
1678,Rice - Brown,60.0
1679,Wine - Taylors Reserve,52.0
1680,Soup - Campbells Pasta Fagioli,71.0
1681,Sauce Tomato Pouch,58.0
1682,Soup - Chicken And Wild Rice,57.0
1683,Puree - Pear,40.0
1684,Turkey - Ground. Lean,37.0
1685,Canada Dry,57.0
1686,Skirt - 29 Foot,26.0
1687,General Purpose Trigger,48.0
1688,Truffle Paste,77.0
1689,Wine - Periguita Fonseca,94.0
1690,"Juice - Orange, Concentrate",43.0
1691,Chocolate - Mi - Amere Semi,63.0
1693,Veal - Knuckle,33.0
1694,"Corn - Cream, Canned",57.0
1695,Olive - Spread Tapenade,60.0
1696,"Brandy - Orange, Mc Guiness",34.0
1697,Squid Ink,72.0
1698,Spice - Greek 1 Step,57.0
1699,"Doilies - 8, Paper",23.0
1700,Potatoes - Mini White 3 Oz,57.0
1701,Maintenance Removal Charge,53.0
1702,Juice - Apple 284ml,45.0
1703,"Arctic Char - Fresh, Whole",57.0
1704,Red Pepper Paste,55.0
1705,Cookie Double Choco,38.0
1706,Guava,59.0
1707,Soup Campbells,65.0
1709,"Vermouth - Sweet, Cinzano",42.0
1710,Carbonated Water - Strawberry,30.0
1711,Bagels Poppyseed,34.0
1712,Soup Campbells Beef With Veg,87.0
1713,Cleaner - Lime Away,35.0
1714,Grouper - Fresh,46.0
1715,Cheese - Grie Des Champ,45.0
1716,Chives - Fresh,54.0
1717,Onion Powder,63.0
1718,Artichoke - Fresh,55.0
1719,Piping Jelly - All Colours,30.0
1720,The Pop Shoppe - Cream Soda,63.0
1721,"Wine - Red, Pelee Island Merlot",67.0
1722,Ecolab - Hobart Upr Prewash Arm,37.0
1723,Neckerchief Blck,63.0
1724,Jagermeister,49.0
1725,Baking Powder,43.0
1728,Eggroll,61.0
1729,"Beets - Candy Cane, Organic",48.0
1730,Juice - Cranberry 284ml,48.0
1731,Cheese - Pied De Vents,37.0
1732,Wasabi Paste,63.0
1733,Vinegar - Cider,47.0
1734,"Shrimp, Dried, Small / Lb",30.0
1735,Spice - Pepper Portions,26.0
1736,Wine - Casillero Del Diablo,58.0
1737,Tea - Vanilla Chai,8.0
1738,Papayas,48.0
1740,"Ranchero - Primerba, Paste",50.0
1741,"Bar Mix - Pina Colada, 355 Ml",54.0
1742,Yogurt - French Vanilla,35.0
1743,Sprouts - Peppercress,47.0
1744,Veal - Bones,52.0
1745,Fuji Apples,85.0
1747,Bag Stand,51.0
1749,Beef - Inside Round,74.0
1750,Glaze - Clear,75.0
1751,"Sauce - Black Current, Dry Mix",74.0
1752,"Cheese - Havarti, Salsa",68.0
1754,Salmon Steak - Cohoe 8 Oz,64.0
1755,Jolt Cola,44.0
1756,Extract Vanilla Pure,38.0
1757,Shichimi Togarashi Peppeers,57.0
1758,Persimmons,31.0
1759,Sauce - Roasted Red Pepper,65.0
1760,Wine - Ruffino Chianti,49.0
1761,"Sauce - Gravy, Au Jus, Mix",72.0
1762,Bagel - Everything Presliced,56.0
1763,Bacon Strip Precooked,70.0
1764,Triple Sec - Mcguinness,94.0
1765,Wine La Vielle Ferme Cote Du,80.0
1767,Wine - Spumante Bambino White,27.0
1768,Coriander - Ground,11.0
1769,Soup - French Can Pea,57.0
1770,"Vodka - Hot, Lnferno",44.0
1773,Wine - Rosso Toscano Igt,68.0
1774,"Beans - Kidney, Canned",64.0
1777,Wine - Cave Springs Dry Riesling,33.0
1778,Ostrich - Prime Cut,45.0
1779,"Mushroom - Chantrelle, Fresh",36.0
1780,Flax Seed,79.0
1781,Dome Lid Clear P92008h,39.0
1782,Pork - Suckling Pig,73.0
1783,Wine - Lou Black Shiraz,69.0
1784,Chocolate - Chips Compound,47.0
1789,Kale - Red,56.0
1790,"Nut - Pecan, Pieces",39.0
1791,Butcher Twine 4r,72.0
1793,"Sole - Dover, Whole, Fresh",13.0
1795,Egg - Salad Premix,80.0
1797,Longos - Cheese Tortellini,45.0
1798,"Veal - Leg, Provimi - 50 Lb Max",60.0
1799,Chutney Sauce,53.0
